site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.19160154232953253,0.07868939398280939
ES1ALM01,2022,37.22261,-6.49975,0.24311043770656707,0.12957232664831392
ES1AZD01,2022,37.25774,-6.20492,0.34458215735558045,0.20552989166577806
ES1AZN01,2022,37.23483,-6.16897,0.3062535929406718,0.19871034630219037
ES1BON01,2022,37.331111,-6.667778,0.1494323191670702,0.07707885268383087
ES1CAI01,2022,37.3,-6.689722,0.1941142025212033,0.11217216413744376
ES1CAM01,2022,37.27652,-6.22105,0.2426958612949062,0.1608706957641545
ES1CON01,2022,37.29183,-6.75247,0.16138703521222472,0.07913225641289225
ES1CRU01,2022,37.33639,-6.48321,0.2792689001772056,0.18182113950840334
ES1CUN01,2022,37.23293,-6.55494,0.26037636163085554,0.0853961992486779
ES1CUT01,2022,37.34943,-6.50578,0.20194164858817498,0.08714244399037849
ES1DEH01,2022,37.35591,-6.60393,0.11933694326683005,0.0867854490097227
ES1DUN01,2022,37.36809,-6.54945,0.09216783035088588,0.04326187872745426
ES1ECO01,2022,37.30863,-6.46184,0.30824054831230846,0.11358376025475264
ES1ENT01,2022,37.18759,-6.49773,0.1993847995332756,0.09528620506370321
ES1ESP01,2022,37.28172,-6.55538,0.14730083229588664,0.07557598977948399
ES1HER01,2022,37.277778,-6.600278,0.15976518473203613,0.043992088805899374
ES1HIN01,2022,37.28925,-6.43359,0.3768551704586066,0.20347633676201762
ES1MAJ01,2022,37.22494,-6.19798,0.31994529913586106,0.1870151090792366
ES1MEI01,2022,37.24388,-6.60103,0.23622077760750462,0.0682022437771614
ES1MIA01,2022,37.305556,-6.6125,0.1395572461813123,0.03888323900563545
ES1PER01,2022,37.28306,-6.38197,0.30535885039809674,0.09411395025956676
ES1PIN01,2022,37.19594,-6.76125,0.45456857330721356,0.21078404783622362
ES1POI01,2022,37.234167,-6.383889,0.3530576466557953,0.14818940625344473
ES1POZ01,2022,37.24921,-6.66097,0.32901980161049277,0.18590742802129762
ES1ROC01,2022,37.12381,-6.50691,0.23753754624062162,0.16406689634903912
ES1TOR01,2022,37.24988,-6.23855,0.26687756803106016,0.13302084984200063
ES1URB01,2022,37.28806,-6.67508,0.2186311475638992,0.05651423367399893
ES1VIE01,2022,37.23926,-6.2808,0.22507374325031873,0.1810945187547415
ES1VIS01,2022,37.2167,-6.30381,0.15479401348550728,0.10160012117423452
AC,2023,37.604103,-5.8702192,0.1191659537933054,0.024292490528034297
AHQ,2023,37.4348103,-5.9442168,0.048681885427525606,0.01792842578300045
AT,2023,37.5836922,-5.9345506,0.07678295316121582,0.028620202758509246
PPE,2023,37.5481628,-5.9094094,0.06304309765501859,0.025063002186322375
PQ,2023,37.4235617,-6.0163071,0.0806934148769491,0.03309673192922988
PSJ,2023,37.488445,-5.9475667,0.055399339321227634,0.019633405479762545
RCB,2023,37.5240052,-5.8818075,0.05042413575142673,0.02101041083018236
RCV,2023,37.488073,-5.8837766,0.04099283306372938,0.01558398215653591
RJ1,2023,37.476992,-5.9211163000000004,0.045075009988456594,0.02245845937867401
RJ16,2023,37.4701785,-5.9172,0.04316834455742771,0.02617460201173223
RJ2,2023,37.4719691,-5.901102,0.04213496552171538,0.026390123379155243
